epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,15210.7,1.27857,1.35072,1.13813,0.56795,0.38335,0.40676,0.27634,1.2547,1.24788,1.0978,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15465.6,1.27189,1.32497,1.1332,0.56901,0.3848,0.40806,0.27713,1.25438,1.24669,1.09722,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15719.9,1.26443,1.31144,1.13044,0.5693,0.38414,0.40913,0.27803,1.25372,1.24534,1.09652,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15975.6,1.25957,1.29846,1.12678,0.57195,0.38419,0.41002,0.27864,1.25378,1.24424,1.09631,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16230.7,1.25486,1.28759,1.12443,0.57664,0.38298,0.41111,0.27923,1.25383,1.24275,1.09589,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16484.7,1.24909,1.27689,1.12052,0.57592,0.38418,0.41161,0.27985,1.25373,1.24168,1.09536,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16740,1.2432,1.26395,1.11843,0.57554,0.38457,0.41329,0.28089,1.25324,1.24011,1.09487,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16995.4,1.23824,1.25225,1.11446,0.57923,0.383,0.41325,0.2811,1.25287,1.23899,1.09404,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17251.1,1.23554,1.24349,1.11341,0.57997,0.38436,0.41347,0.28127,1.25263,1.23798,1.09348,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17506.7,1.2291,1.23427,1.11155,0.57671,0.38499,0.41385,0.2814,1.25236,1.23695,1.09316,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
